Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
Ethereum Classic (ETC),$16.41,+0.04%,-0.52%,-10.36%,"$2,272,482,344","$130,556,674 (7,954,659 ETC)","138,542,401 ETC"
Stellar (XLM),$0.07577,+0.05%,+1.26%,-7.89%,"$1,977,991,133","$35,685,410 (470,969,668 XLM)","26,109,462,800 XLM"
Bitcoin Cash (BCH),$102.09,+0.31%,+1.28%,-5.26%,"$1,967,378,918","$107,395,435 (1,051,949 BCH)","19,263,425 BCH"
Cronos (CRO),$0.05781,+0.08%,+0.87%,-7.45%,"$1,460,898,833","$11,541,007 (199,640,785 CRO)","25,263,013,692 CRO"
OKB (OKB),$21.99,+0.31%,-3.81%,-5.18%,"$1,314,357,006","$17,725,630 (806,128 OKB)","60,000,000 OKB"
ApeCoin (APE),$3.64,+0.01%,+0.32%,-10.23%,"$1,313,206,195","$101,400,450 (27,883,018 APE)","361,250,000 APE"
Quant (QNT),$105.68,-0.01%,+2.35%,-12.58%,"$1,274,398,755","$20,787,366 (196,694 QNT)","12,072,738 QNT"
Algorand (ALGO),$0.1718,+0.00%,+1.40%,-19.24%,"$1,223,808,046","$43,880,715 (255,436,351 ALGO)","7,136,761,011 ALGO"
VeChain (VET),$0.01641,-0.21%,+1.34%,-11.83%,"$1,190,010,616","$26,572,208 (1,619,607,704 VET)","72,511,146,418 VET"
NEAR Protocol (NEAR),$1.35,+0.33%,+3.53%,-16.19%,"$1,135,764,113","$59,221,092 (43,957,233 NEAR)","844,123,352 NEAR"
Hedera (HBAR),$0.04338,-0.22%,+1.00%,-5.65%,"$1,084,880,341","$12,505,894 (288,299,755 HBAR)","25,017,519,613 HBAR"
Filecoin (FIL),$2.99,+0.17%,+1.84%,-28.28%,"$1,049,340,127","$86,722,457 (28,998,055 FIL)","350,970,724 FIL"
Internet Computer (ICP),$3.73,+0.11%,+1.07%,-6.40%,"$1,039,814,913","$16,352,399 (4,389,770 ICP)","279,114,433 ICP"
EOS (EOS),$0.887,-0.06%,+0.52%,-7.82%,"$955,847,695","$77,146,615 (86,977,672 EOS)","1,077,734,568 EOS"
Pax Dollar (USDP),$1.00,+0.01%,-0.01%,-0.04%,"$946,894,611","$934,054 (933,430 USDP)","945,642,940 USDP"
Bitcoin SV (BSV),$44.45,-0.05%,-0.48%,-7.91%,"$856,340,838","$23,441,581 (527,389 BSV)","19,259,145 BSV"
MultiversX (Elrond) (EGLD),$34.94,-0.03%,+0.97%,-17.49%,"$833,948,611","$21,770,429 (623,035 EGLD)","23,862,790 EGLD"
Huobi Token (HT),$5.42,+0.06%,+2.66%,-12.60%,"$830,984,741","$10,196,003 (1,881,878 HT)","153,357,694 HT"
Terra Classic (LUNC),$0.0001369,-0.29%,-0.47%,-16.14%,"$820,025,012","$96,305,450 (703,354,245,679 LUNC)","5,972,736,286,444 LUNC"
Flow (FLOW),$0.7627,+0.37%,+0.16%,-15.56%,"$789,516,166","$21,969,352 (28,806,343 FLOW)","1,036,200,000 FLOW"
Theta Network (THETA),$0.7816,+0.00%,+1.42%,-6.90%,"$781,674,166","$9,426,787 (12,060,986 THETA)","1,000,000,000 THETA"
Aave (AAVE),$55.34,-0.19%,+0.06%,-9.31%,"$779,814,464","$36,546,606 (660,345 AAVE)","14,093,193 AAVE"
TrueUSD (TUSD),$0.9998,-0.00%,+0.03%,+0.01%,"$753,874,012","$23,977,207 (23,980,933 TUSD)","754,107,601 TUSD"
Tezos (XTZ),$0.8093,-0.07%,+1.73%,-15.81%,"$744,405,438","$13,119,492 (16,211,789 XTZ)","920,743,948 XTZ"
USDD (USDD),$0.9829,-0.09%,-0.07%,+0.15%,"$713,150,151","$10,649,604 (10,835,212 USDD)","725,332,036 USDD"
Axie Infinity (AXS),$7.00,-0.03%,+4.17%,-8.21%,"$696,851,659","$108,088,916 (15,431,659 AXS)","99,634,148 AXS"
Chiliz (CHZ),$0.1115,-0.26%,+0.06%,-21.93%,"$683,832,555","$59,551,331 (533,866,164 CHZ)","6,137,378,353 CHZ"
The Sandbox (SAND),$0.4481,+0.29%,+1.52%,-17.41%,"$670,571,372","$81,828,367 (182,595,534 SAND)","1,499,470,108 SAND"
Trust Wallet Token (TWT),$1.52,-0.39%,-0.42%,-28.19%,"$633,908,194","$32,064,831 (21,080,583 TWT)","416,649,900 TWT"
Zcash (ZEC),$39.63,-0.00%,-3.78%,-13.78%,"$633,155,476","$49,740,463 (1,254,991 ZEC)","15,976,800 ZEC"
KuCoin Token (KCS),$6.33,-0.15%,+0.01%,-6.30%,"$622,317,493","$706,850 (111,734 KCS)","98,379,861 KCS"
BitTorrent-New (BTT),$0.0000006428,-0.14%,+0.58%,-4.14%,"$608,788,148","$7,770,200 (12,087,253,460,656 BTT)","947,962,000,000,000 BTT"
BitDAO (BIT),$0.2865,-0.04%,-0.95%,-8.99%,"$598,377,744","$3,619,191 (12,630,275 BIT)","2,090,946,169 BIT"
Gemini Dollar (GUSD),$0.9801,-0.23%,-1.37%,-2.82%,"$594,463,534","$690,896 (704,903 GUSD)","607,049,883 GUSD"
Decentraland (MANA),$0.3134,-0.06%,+2.54%,-17.34%,"$580,895,495","$33,894,505 (108,143,026 MANA)","1,855,084,192 MANA"
Fantom (FTM),$0.2058,+0.01%,+1.70%,-11.43%,"$568,369,676","$56,099,133 (272,583,603 FTM)","2,766,438,153 FTM"
Maker (MKR),$552.72,+0.02%,+0.75%,-7.12%,"$540,194,134","$13,704,235 (24,794 MKR)","977,631 MKR"
PancakeSwap (CAKE),$3.37,-0.01%,+0.30%,-8.41%,"$536,182,292","$24,151,621 (7,156,655 CAKE)","158,845,121 CAKE"
The Graph (GRT),$0.05843,-0.10%,+0.48%,-9.65%,"$508,652,363","$12,455,423 (213,170,293 GRT)","8,714,343,240 GRT"
Klaytn (KLAY),$0.1597,+0.02%,+0.97%,-7.82%,"$489,936,696","$16,559,093 (103,706,203 KLAY)","3,067,969,170 KLAY"
PAX Gold (PAXG),"$1,802.80",+0.18%,-0.78%,+0.72%,"$488,992,859","$9,175,415 (5,090 PAXG)","271,264 PAXG"
Aptos (APT),$3.75,+0.34%,+0.71%,-20.23%,"$487,543,861","$57,466,564 (15,340,316 APT)","130,000,000 APT"
Dash (DASH),$42.73,-0.15%,+0.72%,-8.71%,"$472,572,032","$68,008,000 (1,591,506 DASH)","11,060,525 DASH"
IOTA (MIOTA),$0.1685,+0.25%,+2.02%,-10.00%,"$467,768,580","$6,577,964 (39,044,083 MIOTA)","2,779,530,283 MIOTA"
eCash (XEC),$0.00002409,-0.04%,+1.12%,-15.37%,"$464,160,659","$4,049,967 (168,086,963,022 XEC)","19,259,392,173,303 XEC"
THORChain (RUNE),$1.40,+0.22%,+1.33%,-5.37%,"$456,715,857","$29,260,694 (20,927,991 RUNE)","327,056,566 RUNE"
Neo (NEO),$6.42,-0.07%,-0.33%,-13.92%,"$453,096,417","$16,910,096 (2,633,502 NEO)","70,538,831 NEO"
Fei USD (FEI),$0.9768,-1.66%,-2.37%,-2.23%,"$414,717,924","$552,520 (565,628 FEI)","424,996,178 FEI"
Synthetix (SNX),$1.58,-0.00%,+2.25%,-13.24%,"$393,225,523","$15,112,598 (9,568,492 SNX)","249,089,676 SNX"
Chain (XCN),$0.01822,+0.11%,-4.42%,-41.35%,"$391,255,171","$7,911,534 (434,142,084 XCN)","21,472,783,889 XCN"
GMX (GMX),$46.35,+0.19%,-1.20%,-10.50%,"$388,203,443","$8,457,025 (182,476 GMX)","8,374,052 GMX"
Mina (MINA),$0.4725,+0.12%,+0.21%,-13.52%,"$369,537,333","$5,336,490 (11,287,561 MINA)","782,181,476 MINA"
Neutrino USD (USDN),$0.543,-2.29%,+1.41%,-3.28%,"$369,357,570","$774,420 (1,426,092 USDN)","680,266,294 USDN"
Nexo (NEXO),$0.6576,-0.28%,+0.05%,-1.31%,"$368,331,319","$8,418,192 (12,806,767 NEXO)","560,000,011 NEXO"
GateToken (GT),$3.40,-0.08%,-1.01%,-1.87%,"$368,199,617","$1,612,731 (475,894 GT)","108,265,077 GT"
Osmosis (OSMO),$0.7262,+0.07%,+1.37%,-16.11%,"$357,700,814","$8,591,374 (11,822,619 OSMO)","492,590,761 OSMO"
Frax Share (FXS),$4.72,-0.66%,+0.97%,-13.51%,"$342,231,231","$4,724,342 (1,002,721 FXS)","72,500,479 FXS"
XDC Network (XDC),$0.02704,-0.17%,-0.61%,+10.21%,"$332,722,558","$2,555,207 (94,571,286 XDC)","12,305,012,699 XDC"
EthereumPoW (ETHW),$2.99,+0.26%,-0.03%,-14.23%,"$322,419,196","$12,684,230 (4,233,754 ETHW)","107,666,115 ETHW"
ImmutableX (IMX),$0.4415,+0.23%,+1.50%,-6.20%,"$323,001,594","$6,067,794 (13,765,625 IMX)","731,419,290 IMX"
Stacks (STX),$0.2284,+0.05%,+0.58%,-16.89%,"$308,163,043","$2,896,643 (12,683,035 STX)","1,349,858,806 STX"
1inch Network (1INCH),$0.3949,-0.17%,-0.81%,-8.01%,"$302,768,450","$10,190,786 (25,790,173 1INCH)","766,939,159 1INCH"
Zilliqa (ZIL),$0.01809,-0.24%,+0.63%,-14.92%,"$287,059,220","$15,367,377 (850,484,498 ZIL)","15,867,699,447 ZIL"
Casper (CSPR),$0.0268,+0.27%,+1.96%,-7.31%,"$284,088,323","$4,062,949 (151,643,248 CSPR)","10,602,876,060 CSPR"
Basic Attention Token (BAT),$0.1901,-0.17%,+1.78%,-12.67%,"$284,006,878","$13,719,219 (72,178,465 BAT)","1,494,373,166 BAT"
Decred (DCR),$19.43,-0.00%,-0.67%,-11.76%,"$283,552,070","$998,840 (51,440 DCR)","14,602,570 DCR"
Lido DAO (LDO),$0.8898,+0.25%,-1.44%,-22.11%,"$278,390,760","$13,784,904 (15,464,341 LDO)","312,951,154 LDO"
Curve DAO Token (CRV),$0.5212,-0.06%,+0.97%,-16.06%,"$277,008,663","$29,090,400 (55,727,878 CRV)","531,583,334 CRV"
Loopring (LRC),$0.2069,-0.28%,+0.36%,-14.83%,"$275,061,443","$11,485,947 (55,534,802 LRC)","1,330,133,546 LRC"
NEM (XEM),$0.03019,+0.01%,+0.69%,-8.68%,"$271,711,495","$10,549,499 (350,011,352 XEM)","8,999,999,999 XEM"
Enjin Coin (ENJ),$0.2629,-0.24%,+1.46%,-10.19%,"$262,918,999","$11,566,753 (44,010,917 ENJ)","1,000,000,000 ENJ"
Convex Finance (CVX),$3.56,-0.03%,+1.21%,-5.22%,"$257,291,984","$3,435,083 (963,939 CVX)","72,273,127 CVX"
Balancer (BAL),$5.55,-0.02%,+0.42%,-7.92%,"$256,075,082","$4,536,304 (815,802 BAL)","46,170,704 BAL"
Holo (HOT),$0.001476,-0.23%,-0.51%,-13.73%,"$255,908,328","$9,733,331 (6,583,257,593 HOT)","173,342,974,127 HOT"
Helium (HNT),$1.90,+0.79%,-10.86%,-3.26%,"$256,158,111","$7,510,717 (3,967,281 HNT)","135,058,735 HNT"
Kava (KAVA),$0.7162,-0.71%,-0.07%,-16.39%,"$255,276,869","$16,511,307 (23,040,539 KAVA)","356,446,809 KAVA"
Compound (COMP),$33.41,-0.02%,+0.87%,-14.73%,"$242,660,356","$13,467,416 (403,078 COMP)","7,267,152 COMP"
Ravencoin (RVN),$0.02016,-0.35%,+0.48%,-6.95%,"$242,162,044","$5,120,706 (253,972,876 RVN)","12,020,938,921 RVN"
Celo (CELO),$0.4912,+0.04%,-1.50%,-15.76%,"$235,074,297","$6,057,479 (12,332,182 CELO)","478,832,129 CELO"
Arweave (AR),$6.94,-0.08%,-1.72%,-17.41%,"$231,278,947","$20,648,174 (2,976,183 AR)","33,394,701 AR"
Bitcoin Gold (BTG),$13.07,-0.10%,-1.00%,-12.15%,"$228,936,617","$2,000,622 (153,065 BTG)","17,513,924 BTG"
Ethereum Name Service (ENS),$11.18,+0.15%,-0.97%,-14.43%,"$226,052,297","$14,254,925 (1,274,600 ENS)","20,244,862 ENS"
Gnosis (GNO),$87.26,+0.00%,+0.51%,-3.44%,"$225,909,950","$2,354,514 (26,982 GNO)","2,589,588 GNO"
Optimism (OP),$0.9519,+0.12%,+0.75%,-12.29%,"$223,139,574","$51,555,888 (54,158,832 OP)","234,748,364 OP"
Theta Fuel (TFUEL),$0.03685,+0.76%,+1.40%,-12.14%,"$219,392,557","$10,331,465 (280,334,568 TFUEL)","5,954,870,518 TFUEL"
Kusama (KSM),$24.95,+0.26%,+2.27%,-9.74%,"$211,244,957","$6,740,962 (270,159 KSM)","8,470,098 KSM"
SushiSwap (SUSHI),$0.9512,+0.03%,+2.67%,-15.98%,"$211,162,573","$34,996,936 (36,793,044 SUSHI)","222,257,372 SUSHI"
SwissBorg (CHSB),$0.2088,-0.16%,-1.46%,-7.85%,"$209,114,758","$310,644 (1,488,108 CHSB)","1,000,000,000 CHSB"
Qtum (QTUM),$2.00,-0.07%,+0.90%,-15.74%,"$208,729,598","$25,196,658 (12,608,661 QTUM)","104,463,683 QTUM"
BinaryX (BNX),$73.30,-0.03%,-0.44%,+21.54%,"$207,317,438","$7,631,472 (104,120 BNX)","2,831,863 BNX"
yearn.finance (YFI),"$5,560.55",-0.12%,-0.74%,-11.41%,"$203,697,604","$13,532,214 (2,434 YFI)","36,638 YFI"
TerraClassicUSD (USTC),$0.02067,-0.22%,-1.74%,-15.21%,"$203,635,640","$9,624,955 (465,755,693 USTC)","9,804,125,700 USTC"
Oasis Network (ROSE),$0.03491,+0.13%,+2.11%,-18.83%,"$199,738,403","$12,625,968 (361,680,307 ROSE)","5,725,718,533 ROSE"
Golem (GLM),$0.1998,+0.14%,-0.34%,-10.05%,"$199,790,356","$4,807,577 (24,057,605 GLM)","1,000,000,000 GLM"
Kadena (KDA),$0.9255,+0.54%,+0.33%,-7.01%,"$196,821,453","$2,183,073 (2,358,859 KDA)","212,744,289 KDA"
IoTeX (IOTX),$0.01993,+0.22%,+1.19%,-11.31%,"$187,322,370","$3,964,227 (198,910,049 IOTX)","9,406,437,139 IOTX"
JUST (JST),$0.02085,-0.16%,+1.49%,-4.82%,"$185,577,423","$13,063,089 (626,620,794 JST)","8,902,080,000 JST"
Chia (XCH),$29.99,+0.04%,-0.00%,-5.03%,"$180,149,422","$3,739,753 (124,691 XCH)","6,004,610 XCH"
Symbol (XYM),$0.03148,-0.00%,-1.21%,-5.52%,"$175,752,666","$815,215 (25,896,799 XYM)","5,582,460,005 XYM"
STEPN (GMT),$0.2896,-0.12%,+0.47%,-23.14%,"$173,394,452","$28,554,624 (98,615,347 GMT)","600,000,000 GMT"
Waves (WAVES),$1.58,+0.17%,+1.18%,-10.01%,"$173,256,251","$169,020,659 (107,282,927 WAVES)","110,188,060 WAVES"
Ankr (ANKR),$0.01751,-0.02%,+0.25%,-14.52%,"$169,235,962","$10,468,561 (597,822,500 ANKR)","9,662,899,378 ANKR"
Moonbeam (GLMR),$0.339,-0.04%,+0.08%,-9.15%,"$165,455,461","$3,465,759 (10,224,324 GLMR)","488,220,888 GLMR"
Mask Network (MASK),$2.41,-0.27%,+7.25%,-20.62%,"$163,943,740","$127,154,477 (52,721,754 MASK)","68,200,000 MASK"
Terra (LUNA),$1.26,+0.04%,-0.62%,-22.15%,"$160,980,186","$37,489,482 (29,665,656 LUNA)","127,475,474 LUNA"
Dogelon Mars (ELON),$0.0000002926,-0.67%,+0.89%,-6.51%,"$160,728,783","$2,159,458 (7,379,861,668,154 ELON)","550,542,777,318,757 ELON"
Astar (ASTR),$0.04015,-0.14%,+0.23%,-2.32%,"$153,650,748","$1,360,484 (33,885,095 ASTR)","3,830,707,986 ASTR"
Livepeer (LPT),$5.63,-0.12%,-0.79%,-13.66%,"$151,450,265","$5,480,015 (973,246 LPT)","26,930,033 LPT"
Polymath (POLY),$0.1597,+0.22%,-1.24%,-19.13%,"$147,340,835","$2,060,330 (12,903,783 POLY)","924,998,413 POLY"
Harmony (ONE),$0.01122,+0.11%,+2.22%,-16.01%,"$144,793,537","$7,649,181 (682,008,231 ONE)","12,917,232,343 ONE"
JasmyCoin (JASMY),$0.003122,-0.09%,+0.83%,-16.02%,"$144,348,684","$13,838,525 (4,432,684,620 JASMY)","46,299,999,999 JASMY"
Hive (HIVE),$0.293,+0.39%,-1.74%,-13.14%,"$144,072,622","$2,347,614 (8,013,115 HIVE)","491,944,919 HIVE"
Ontology (ONT),$0.1642,+0.05%,+1.74%,-10.86%,"$143,514,965","$6,173,022 (37,599,365 ONT)","875,249,524 ONT"
OMG Network (OMG),$1.02,+0.27%,+1.02%,-10.34%,"$142,949,754","$15,126,933 (14,835,774 OMG)","140,245,398 OMG"
Threshold (T),$0.01648,+0.93%,+2.61%,-8.10%,"$139,714,040","$3,683,013 (223,442,065 T)","8,245,460,686 T"
0x (ZRX),$0.167,-0.06%,-0.19%,-11.53%,"$141,431,639","$7,717,241 (46,203,283 ZRX)","847,496,055 ZRX"
WOO Network (WOO),$0.1165,-0.19%,+1.67%,-16.03%,"$139,848,268","$7,291,292 (62,612,026 WOO)","1,202,120,921 WOO"
ICON (ICX),$0.1501,-0.07%,+0.89%,-11.80%,"$137,924,978","$2,061,734 (13,735,432 ICX)","919,483,096 ICX"
Reserve Rights (RSR),$0.003207,-0.02%,+0.47%,-15.81%,"$135,493,097","$4,538,188 (1,415,164,106 RSR)","42,302,323,974 RSR"
IOST (IOST),$0.007154,-0.09%,+0.35%,-11.78%,"$132,886,093","$3,220,219 (450,134,624 IOST)","18,588,745,668 IOST"
Gala (GALA),$0.01901,-0.08%,+0.08%,-21.38%,"$132,574,875","$54,853,738 (2,886,073,989 GALA)","6,977,205,436 GALA"
Amp (AMP),$0.003118,+0.01%,-0.45%,-5.62%,"$131,604,003","$3,084,002 (989,083,210 AMP)","42,227,702,186 AMP"
Bone ShibaSwap (BONE),$0.8012,+0.03%,+0.72%,-3.46%,"$128,741,437","$3,438,438 (4,291,616 BONE)","160,731,618 BONE"
Flux (FLUX),$0.4488,+0.07%,+1.56%,-8.18%,"$127,762,374","$3,437,024 (7,658,675 FLUX)","285,033,327 FLUX"
MAGIC (MAGIC),$0.6214,-0.06%,-0.60%,-12.25%,"$127,648,657","$15,908,690 (25,601,775 MAGIC)","205,129,893 MAGIC"
Siacoin (SC),$0.002409,-0.06%,-0.43%,-10.62%,"$127,188,813","$2,016,704 (837,141,990 SC)","52,826,392,991 SC"
SafePal (SFP),$0.3923,-0.05%,-3.33%,-20.35%,"$127,383,165","$6,720,636 (17,130,436 SFP)","324,402,079 SFP"
DigiByte (DGB),$0.007988,+0.19%,-0.51%,-11.77%,"$126,423,038","$3,631,152 (454,560,545 DGB)","15,891,368,283 DGB"
Celsius (CEL),$0.5309,+0.49%,-0.32%,-10.99%,"$126,186,092","$1,563,508 (2,944,848 CEL)","238,863,520 CEL"
APENFT (NFT),$0.0000004515,+0.10%,-0.73%,-7.96%,"$124,972,222","$10,446,042 (23,138,446,865,595 NFT)","277,080,562,500,000 NFT"
Ribbon Finance (RBN),$0.2306,+0.19%,-3.29%,-8.23%,"$121,571,863","$496,228 (2,151,547 RBN)","527,010,363 RBN"
Audius (AUDIO),$0.1304,+0.07%,+1.39%,-11.16%,"$121,118,336","$3,606,127 (27,657,297 AUDIO)","929,742,732 AUDIO"
Braintrust (BTRST),$0.9222,+0.61%,-0.09%,+0.19%,"$119,620,659","$595,065 (645,268 BTRST)","129,824,382 BTRST"
Horizen (ZEN),$8.74,-0.17%,+1.67%,-15.36%,"$115,202,040","$5,161,306 (590,209 ZEN)","13,176,588 ZEN"
WAX (WAXP),$0.0484,+0.19%,+0.20%,-12.27%,"$111,403,751","$2,046,475 (42,283,261 WAXP)","2,304,827,414 WAXP"
BORA (BORA),$0.1189,-0.18%,-1.11%,-16.98%,"$110,355,038","$2,342,922 (19,704,795 BORA)","927,500,000 BORA"
UMA (UMA),$1.60,+0.08%,-1.07%,-4.12%,"$110,295,747","$5,186,119 (3,241,916 UMA)","68,947,415 UMA"
Render Token (RNDR),$0.4333,-0.09%,+3.52%,-14.39%,"$110,058,823","$8,031,338 (18,535,058 RNDR)","253,798,860 RNDR"
SXP (SXP),$0.2149,-0.01%,-0.52%,-10.09%,"$109,324,768","$13,329,453 (62,018,184 SXP)","508,229,615 SXP"
Storj (STORJ),$0.2644,-0.06%,-0.07%,-16.92%,"$109,110,874","$7,139,824 (27,007,949 STORJ)","412,937,122 STORJ"
ConstitutionDAO (PEOPLE),$0.02133,+0.42%,+1.36%,-4.62%,"$107,879,221","$13,146,951 (616,307,731 PEOPLE)","5,060,137,335 PEOPLE"
Lisk (LSK),$0.8285,+4.54%,+11.34%,+4.13%,"$106,106,744","$36,612,970 (44,190,807 LSK)","128,900,445 LSK"
Secret (SCRT),$0.6252,-0.03%,+0.84%,-7.10%,"$101,990,061","$1,492,480 (2,387,028 SCRT)","163,295,557 SCRT"
ABBC Coin (ABBC),$0.09691,+0.25%,+1.80%,-19.00%,"$101,710,461","$10,231,276 (105,572,063 ABBC)","1,047,620,699 ABBC"
iExec RLC (RLC),$1.25,-0.24%,-2.51%,+5.62%,"$101,494,616","$11,839,697 (9,446,080 RLC)","80,999,785 RLC"
Ocean Protocol (OCEAN),$0.1641,-0.24%,-1.94%,-8.84%,"$100,545,122","$16,231,431 (98,920,442 OCEAN)","613,099,141 OCEAN"
ssv.network (SSV),$9.90,-0.13%,-1.61%,-9.83%,"$99,025,426","$1,557,063 (157,273 SSV)","10,000,000 SSV"
Injective (INJ),$1.33,-0.09%,-0.71%,-17.10%,"$96,732,696","$4,070,049 (3,068,755 INJ)","73,005,554 INJ"
MXC (MXC),$0.03476,-0.50%,+17.79%,-3.80%,"$92,688,758","$18,170,390 (522,672,414 MXC)","2,642,132,371 MXC"
Smooth Love Potion (SLP),$0.002165,-0.52%,+0.80%,-11.03%,"$92,417,164","$7,228,961 (3,338,992,188 SLP)","42,660,374,000 SLP"
Tribe (TRIBE),$0.2035,-0.30%,+0.30%,-5.19%,"$92,519,535","$1,569,738 (7,715,411 TRIBE)","453,448,622 TRIBE"
Pundi X (New) (PUNDIX),$0.3538,+0.92%,+0.86%,-9.30%,"$91,481,072","$6,609,330 (18,681,273 PUNDIX)","258,491,637 PUNDIX"
Energy Web Token (EWT),$3.02,+0.10%,-2.01%,-15.75%,"$90,637,095","$944,061 (312,911 EWT)","30,062,138 EWT"
Voyager Token (VGX),$0.3218,-0.59%,+1.58%,-3.90%,"$89,840,941","$7,036,962 (21,870,350 VGX)","278,482,214 VGX"
SKALE (SKL),$0.02211,-0.33%,+2.28%,-7.49%,"$89,260,315","$4,300,900 (194,492,820 SKL)","4,039,352,671 SKL"
Nano (XNO),$0.6682,+0.07%,+0.31%,-12.92%,"$88,937,714","$664,596 (994,574 XNO)","133,248,297 XNO"
Request (REQ),$0.08684,-0.05%,-0.87%,-2.75%,"$87,037,724","$1,174,088 (13,520,592 REQ)","999,830,316 REQ"
Kyber Network Crystal v2 (KNC),$0.5264,+0.05%,+1.24%,-14.66%,"$86,573,349","$4,951,970 (9,406,629 KNC)","164,893,760 KNC"
API3 (API3),$1.20,+0.07%,+0.85%,-10.90%,"$86,139,682","$3,239,914 (2,691,698 API3)","71,748,537 API3"
PlayDapp (PLA),$0.161,+0.16%,+0.17%,-19.30%,"$86,600,101","$6,611,016 (41,053,654 PLA)","537,855,941 PLA"
Civic (CVC),$0.0862,-0.03%,-0.92%,-13.06%,"$86,135,926","$6,809,815 (79,001,599 CVC)","1,000,000,000 CVC"
Aragon (ANT),$2.03,+0.07%,+3.48%,-6.37%,"$85,073,208","$8,358,491 (4,122,486 ANT)","41,958,140 ANT"
MediBloc (MED),$0.01313,+0.29%,+1.73%,-9.02%,"$84,008,827","$557,731 (42,475,571 MED)","6,365,724,128 MED"
Status (SNT),$0.02102,+0.21%,+0.18%,-7.07%,"$82,419,417","$2,309,258 (109,875,994 SNT)","3,921,516,776 SNT"
Syscoin (SYS),$0.1088,-0.21%,+2.36%,-2.58%,"$81,572,957","$2,790,153 (25,641,572 SYS)","750,449,088 SYS"
